change_id,case_id,vendor_id,request_id,requested_at,requested_by,before_account_token,requested_account_token,changed_at,changed_by,change_reason
CHG-2608-018,CASE-2608-018,V26018,REQ-2608-018,2026-08-18 08:30:00,U203,ACCT-2608-018-OLD,ACCT-2608-018-NEW,2026-08-18 10:00:00,U401,은행 변경에 따른 지급 계좌 변경
CHG-2608-019,CASE-2608-019,V26019,REQ-2608-019,2026-08-19 08:30:00,U201,ACCT-2608-019-OLD,ACCT-2608-019-NEW,2026-08-19 10:00:00,U401,거래처 요청에 따른 주거래 계좌 변경
CHG-2608-020,CASE-2608-020,V26020,REQ-2608-020,2026-08-20 08:30:00,U202,ACCT-2608-020-OLD,ACCT-2608-020-NEW,2026-08-20 10:00:00,U401,은행 변경에 따른 지급 계좌 변경
CHG-2608-021,CASE-2608-021,V26021,REQ-2608-021,2026-08-21 08:30:00,U203,ACCT-2608-021-OLD,ACCT-2608-021-NEW,2026-08-21 10:00:00,U401,거래처 요청에 따른 주거래 계좌 변경
CHG-2608-022,CASE-2608-022,V26022,REQ-2608-022,2026-08-22 08:30:00,U201,ACCT-2608-022-OLD,ACCT-2608-022-NEW,2026-08-22 09:30:00,U401,긴급 요청으로 ERP 우선 반영
CHG-2608-023,CASE-2608-023,V26023,REQ-2608-023,2026-08-23 08:30:00,U202,ACCT-2608-023-OLD,ACCT-2608-023-NEW,2026-08-23 10:00:00,U401,승인 기록 누락 사례
CHG-2608-024,CASE-2608-024,V26024,REQ-2608-024,2026-08-24 08:30:00,U201,ACCT-2608-024-OLD,ACCT-2608-024-NEW,2026-08-24 10:00:00,U401,요청자와 승인자 동일 사례
CHG-2608-025,CASE-2608-025,V26025,REQ-2608-025,2026-08-25 08:30:00,U202,ACCT-2608-025-OLD,ACCT-2608-025-NEW,2026-08-25 10:00:00,U401,요청자와 승인자 동일 사례
CHG-2608-026,CASE-2608-026,V26026,REQ-2608-026,2026-08-26 08:30:00,U203,ACCT-2608-026-OLD,ACCT-2608-026-NEW,2026-08-26 10:00:00,U401,승인 계좌와 ERP 계좌 불일치 사례
CHG-2608-027,CASE-2608-027,V26027,REQ-2608-027,2026-08-27 08:30:00,U201,ACCT-2608-027-OLD,ACCT-2608-027-NEW,2026-08-27 10:00:00,U401,승인 계좌와 ERP 계좌 불일치 사례
CHG-2608-028,CASE-2608-028,V26028,REQ-2608-028,2026-08-28 08:30:00,U202,ACCT-2608-028-OLD,ACCT-2608-028-NEW,2026-08-28 10:00:00,U401,ERP 우선 반영과 업무 미분리 사례
CHG-2608-029,CASE-2608-029,V26029,REQ-2608-029,2026-08-29 08:30:00,U203,ACCT-2608-029-OLD,ACCT-2608-029-NEW,2026-08-29 10:00:00,U401,ERP 우선 반영과 계좌 불일치 사례
CHG-2608-030,CASE-2608-030,,REQ-2608-030,2026-08-30 08:30:00,U201,ACCT-2608-030-OLD,ACCT-2608-030-NEW,2026-08-30 25:10:00,U401,필수 식별자와 시각 형식 입력 오류
